Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
Zeke Nnaji,24,DEN,PF,27,0,121,15,34,0.441,0,10,0,15,24,0.625,0.441,3,7,0.429,3,10,13,4,1,3,4,9,33,0,,nnajize01
Enrique Freeman,24,IND,PF,18,1,135,12,25,0.48,1,6,0.167,11,19,0.579,0.5,7,13,0.538,5,13,18,7,2,2,5,17,32,0,,freemen01
Elijah Harkless,24,UTA,SG,8,0,129,11,33,0.333,7,25,0.28,4,8,0.5,0.439,3,6,0.5,9,9,18,7,10,1,3,17,32,0,,harklej01
Josh Richardson,31,MIA,SG,8,0,150,11,38,0.289,6,22,0.273,5,16,0.313,0.368,4,4,1,6,6,12,12,8,1,8,17,32,0,,richajo01
Damion Lee,32,PHO,SG,10,0,60,9,29,0.31,3,15,0.2,6,14,0.429,0.362,10,10,1,1,8,9,7,2,0,5,2,31,0,,leeda03
Tyler Smith,20,MIL,PF,13,0,43,12,18,0.667,5,10,0.5,7,8,0.875,0.806,1,2,0.5,2,10,12,1,0,3,3,5,30,0,,smithty02
Moses Brown,25,IND,C,9,0,46,13,20,0.65,0,0,,13,20,0.65,0.65,3,5,0.6,4,9,13,0,2,1,6,6,29,0,,brownmo01
JT Thor,22,CLE,PF,8,0,39,9,14,0.643,3,5,0.6,6,9,0.667,0.75,7,8,0.875,3,3,6,1,2,3,6,6,28,0,,thorjt01
Richaun Holmes,31,WAS,PF,8,0,70,11,22,0.5,0,1,0,11,21,0.524,0.5,5,7,0.714,9,16,25,1,0,4,3,5,27,0,,holmeri01
Orlando Robinson,24,2TM,C,12,0,90,10,26,0.385,1,6,0.167,9,20,0.45,0.404,6,9,0.667,5,16,21,10,4,3,8,14,27,0,,robinor01
Ariel Hukporti,22,NYK,C,16,0,120,10,16,0.625,0,0,,10,16,0.625,0.625,6,10,0.6,5,23,28,6,0,11,11,15,26,0,,hukpoar01
Colby Jones,22,SAC,SG,23,0,122,11,25,0.44,4,9,0.444,7,16,0.438,0.52,0,0,,6,14,20,5,5,6,7,13,26,0,,jonesco02
Matt Ryan,27,NYK,SF,16,0,60,9,26,0.346,5,16,0.313,4,10,0.4,0.442,2,2,1,0,7,7,1,2,0,3,1,25,0,,ryanma01
Xavier Tillman Sr.,26,BOS,C,26,1,190,10,40,0.25,4,22,0.182,6,18,0.333,0.3,1,2,0.5,8,28,36,7,8,5,9,14,25,0,,tillmxa01
Jazian Gortman,21,DAL,PG,16,0,57,9,23,0.391,4,11,0.364,5,12,0.417,0.478,2,4,0.5,1,4,5,6,2,1,5,9,24,0,,gortmja01
Yuki Kawamura,23,MEM,PG,17,0,56,8,21,0.381,4,15,0.267,4,6,0.667,0.476,4,6,0.667,0,6,6,12,1,0,4,7,24,0,,kawamyu01
Daeqwon Plowden,26,ATL,SG,2,0,33,8,10,0.8,6,8,0.75,2,2,1,1.1,2,2,1,3,2,5,0,0,0,1,5,24,0,,plowdda01
Sidy Cissoko,20,SAS,SF,16,0,51,9,18,0.5,3,7,0.429,6,11,0.545,0.583,1,6,0.167,3,7,10,6,1,0,2,6,22,0,,cissosi01
Jae Crowder,34,SAC,PF,7,2,92,6,17,0.353,3,12,0.25,3,5,0.6,0.441,5,6,0.833,6,11,17,4,3,0,4,10,20,0,,crowdja01
Pacome Dadiet,19,NYK,SG,13,0,83,6,20,0.3,5,14,0.357,1,6,0.167,0.425,2,2,1,0,13,13,5,1,2,1,5,19,0,,dadiepa01
Dominick Barlow,21,ATL,SF,10,0,59,6,16,0.375,2,5,0.4,4,11,0.364,0.438,4,6,0.667,1,8,9,3,3,0,0,5,18,0,,barlodo01
Kessler Edwards,24,DAL,SF,17,1,109,6,18,0.333,2,10,0.2,4,8,0.5,0.389,2,2,1,2,18,20,6,4,2,1,10,16,0,,edwarke02
Keshad Johnson,23,MIA,SF,10,0,57,7,12,0.583,1,4,0.25,6,8,0.75,0.625,1,6,0.167,2,15,17,3,1,4,3,5,16,0,,johnske10
Jeenathan Williams,25,HOU,SG,6,0,21,7,9,0.778,2,4,0.5,5,5,1,0.889,0,0,,0,3,3,1,2,1,1,1,16,0,,willije02
Vince Williams Jr.,24,MEM,SG,3,0,45,7,19,0.368,1,8,0.125,6,11,0.545,0.395,1,4,0.25,4,7,11,9,0,2,7,9,16,0,,willivi01
Adam Flagler,25,OKC,SG,15,0,56,5,31,0.161,5,28,0.179,0,3,0,0.242,0,0,,3,5,8,0,2,1,1,6,15,0,,flaglad01
E.J. Liddell,24,CHI,PF,6,0,31,5,8,0.625,3,6,0.5,2,2,1,0.813,2,2,1,1,4,5,3,1,1,2,8,15,0,,liddeej01
Pete Nance,24,PHI,C,5,0,60,5,15,0.333,4,12,0.333,1,3,0.333,0.467,1,2,0.5,2,7,9,3,1,0,0,10,15,0,,nancepe01
Terrence Shannon Jr.,24,MIN,SG,10,0,45,7,13,0.538,1,3,0.333,6,10,0.6,0.577,0,0,,0,2,2,5,2,1,3,1,15,0,,shannte01
Colin Castleton,24,MEM,C,10,0,46,2,10,0.2,0,4,0,2,6,0.333,0.2,10,11,0.909,3,6,9,0,1,1,1,6,14,0,,castlco01
Taylor Hendricks,21,UTA,PF,3,3,75,4,18,0.222,3,12,0.25,1,6,0.167,0.306,3,4,0.75,5,10,15,2,5,4,2,8,14,0,,hendrta01
Oscar Tshiebwe,25,UTA,C,3,0,46,4,6,0.667,0,0,,4,6,0.667,0.667,6,8,0.75,5,15,20,0,4,0,1,10,14,0,,tshieos01
Trey Alexander,21,DEN,SG,14,0,62,4,18,0.222,2,9,0.222,2,9,0.222,0.278,2,2,1,0,4,4,6,1,1,1,5,12,0,,alexatr01
Alex Ducas,24,OKC,SG,9,0,31,4,9,0.444,4,8,0.5,0,1,0,0.667,0,0,,1,2,3,1,1,0,1,3,12,0,,ducasal01
Markieff Morris,35,DAL,PF,7,0,41,5,22,0.227,2,13,0.154,3,9,0.333,0.273,0,0,,0,8,8,4,1,1,2,2,12,0,,morrima02
Armel Traoré,22,LAL,SF,8,0,61,5,18,0.278,0,7,0,5,11,0.455,0.278,2,7,0.286,1,13,14,1,4,2,2,6,12,0,,armeltr01
Tristan Vukcevic,21,WAS,C,7,0,22,5,14,0.357,1,8,0.125,4,6,0.667,0.393,1,1,1,2,2,4,1,0,1,0,3,12,0,,vukcetr01
PJ Hall,22,DEN,C,10,0,28,4,8,0.5,0,3,0,4,5,0.8,0.5,3,4,0.75,2,8,10,2,0,1,1,3,11,0,,hallpj01
A.J. Lawson,24,TOR,SG,4,0,15,4,8,0.5,2,5,0.4,2,3,0.667,0.625,1,3,0.333,1,2,3,0,0,0,0,0,11,0,,lawsoaj01
Karlo Matković,23,NOP,PF,10,0,73,5,12,0.417,0,2,0,5,10,0.5,0.417,0,0,,8,12,20,3,5,7,7,12,10,0,,matkoka01
Vlatko Čančar,27,DEN,PF,4,0,34,4,7,0.571,1,2,0.5,3,5,0.6,0.643,0,0,,3,5,8,0,0,1,2,4,9,0,,cancavl01
Trentyn Flowers,19,LAC,SF,2,0,16,4,9,0.444,0,2,0,4,7,0.571,0.444,1,1,1,1,3,4,0,0,0,1,3,9,0,,flowetr01
Lester Quiñones,24,PHI,SG,4,0,17,4,8,0.5,0,3,0,4,5,0.8,0.5,1,1,1,3,1,4,1,0,0,4,0,9,0,,quinole01
Liam Robbins,25,MIL,C,13,0,57,2,8,0.25,0,2,0,2,6,0.333,0.25,5,10,0.5,7,5,12,2,2,2,6,9,9,0,,robbili01
Baylor Scheierman,24,BOS,SG,9,0,54,3,17,0.176,1,12,0.083,2,5,0.4,0.206,2,2,1,2,11,13,4,2,0,0,6,9,0,,scheiba01
Garrett Temple,38,TOR,SG,15,0,58,2,11,0.182,1,5,0.2,1,6,0.167,0.227,4,4,1,2,8,10,9,5,2,4,7,9,0,,templga01
James Johnson,37,IND,PF,8,0,27,4,7,0.571,0,1,0,4,6,0.667,0.571,0,1,0,0,4,4,3,0,2,4,4,8,0,,johnsja01
Jack McVeigh,28,HOU,PF,6,0,21,3,11,0.273,2,8,0.25,1,3,0.333,0.364,0,0,,1,3,4,1,0,1,1,1,8,0,,mcveija01
Adama Sanogo,22,CHI,C,4,0,21,4,7,0.571,0,0,,4,7,0.571,0.571,0,0,,5,1,6,1,0,0,1,1,8,0,,sanogad01
Luke Travers,23,CLE,SG,6,0,42,3,7,0.429,0,3,0,3,4,0.75,0.429,2,2,1,1,5,6,5,1,1,2,3,8,0,,travelu01
Stanley Umude,25,MIL,SG,17,0,53,3,16,0.188,2,8,0.25,1,8,0.125,0.25,0,2,0,3,10,13,2,2,2,1,6,8,0,,umudest01
TyTy Washington Jr.,23,PHO,PG,4,0,28,3,6,0.5,2,3,0.667,1,3,0.333,0.667,0,0,,0,1,1,4,2,0,1,0,8,0,,washity02
PJ Dozier,28,MIN,SG,9,0,35,2,3,0.667,2,3,0.667,0,0,,1,1,6,0.167,1,4,5,5,1,0,1,3,7,0,,doziepj01
AJ Johnson,20,MIL,SG,6,0,15,3,7,0.429,1,1,1,2,6,0.333,0.5,0,0,,0,3,3,3,0,0,2,0,7,0,,johnsaj01
Maxwell Lewis,22,2TM,SF,8,0,30,3,7,0.429,1,1,1,2,6,0.333,0.5,0,0,,2,0,2,2,1,0,2,1,7,0,,lewisma05
Cam Christie,19,LAC,SG,5,0,29,2,9,0.222,1,6,0.167,1,3,0.333,0.278,1,2,0.5,1,5,6,2,2,0,2,2,6,0,,chrisca02
Josh Christopher,23,MIA,SG,7,0,26,2,6,0.333,0,1,0,2,5,0.4,0.333,2,4,0.5,0,3,3,4,0,1,4,1,6,0,,chrisjo01
JD Davison,22,BOS,PG,5,0,24,2,5,0.4,1,3,0.333,1,2,0.5,0.5,1,2,0.5,0,2,2,1,1,0,6,1,6,0,,davisjd01
Mouhamed Gueye,22,ATL,PF,3,0,30,3,13,0.231,0,8,0,3,5,0.6,0.231,0,0,,1,5,6,1,2,0,1,1,6,0,,gueyemo02
Bryce McGowens,22,POR,SG,5,0,13,3,5,0.6,0,2,0,3,3,1,0.6,0,1,0,1,0,1,1,0,0,2,1,6,0,,mcgowbr01
Taze Moore,26,POR,SG,2,0,20,2,10,0.2,1,4,0.25,1,6,0.167,0.25,1,2,0.5,4,4,8,1,2,0,2,0,6,0,,mooreta02
Jacob Toppin,24,NYK,SF,15,0,47,3,9,0.333,0,2,0,3,7,0.429,0.333,0,0,,2,8,10,4,2,0,2,3,6,0,,toppija01
Jarred Vanderbilt,25,LAL,PF,2,0,26,3,7,0.429,0,2,0,3,5,0.6,0.429,0,0,,3,3,6,3,5,0,1,4,6,0,,vandeja01
James Wiseman,23,IND,C,1,0,5,2,4,0.5,0,1,0,2,3,0.667,0.5,2,2,1,0,1,1,0,0,0,0,0,6,0,,wisemja01
Ulrich Chomche,19,TOR,PF,6,0,20,2,3,0.667,0,0,,2,3,0.667,0.667,1,2,0.5,3,3,6,2,0,0,2,4,5,0,,chomcul01
Collin Gillespie,25,PHO,PG,2,0,6,2,3,0.667,1,1,1,1,2,0.5,0.833,0,0,,1,0,1,0,0,0,0,1,5,0,,gilleco01
Alondes Williams,25,DET,SG,1,0,4,2,2,1,1,1,1,1,1,1,1.25,0,0,,0,0,0,1,0,0,0,0,5,0,,willial06
Jalen Hood-Schifino,21,LAL,SG,2,0,14,1,1,1,0,0,,1,1,1,1,2,2,1,1,0,1,1,0,1,1,3,4,0,,hoodsja01
Bronny James,20,LAL,SG,12,0,29,1,11,0.091,0,4,0,1,7,0.143,0.091,2,2,1,1,1,2,3,2,1,0,2,4,0,,jamesbr02
Jared Rhoden,25,CHO,SG,4,0,12,2,8,0.25,0,2,0,2,6,0.333,0.25,0,0,,2,2,4,2,1,0,1,1,4,0,,rhodeja01
D.J. Carton,24,TOR,SG,4,0,33,1,7,0.143,0,3,0,1,4,0.25,0.143,1,1,1,0,4,4,3,2,0,4,1,3,0,,cartodj01
Cui Yongxi,21,BRK,SG,5,0,10,1,7,0.143,0,3,0,1,4,0.25,0.143,1,2,0.5,0,2,2,0,0,0,0,0,3,0,,cuiyo01
David Duke Jr.,25,SAS,SG,1,0,8,1,4,0.25,0,1,0,1,3,0.333,0.25,1,2,0.5,0,0,0,2,0,0,0,1,3,0,,dukeda01
Jaylen Martin,21,BRK,SF,3,0,5,1,2,0.5,1,1,1,0,1,0,0.75,0,0,,0,0,0,0,0,0,0,1,3,0,,martija02
Tristen Newton,23,2TM,SG,6,0,9,1,6,0.167,0,3,0,1,3,0.333,0.167,1,1,1,0,1,1,1,0,0,1,3,3,0,,newtotr01
Quincy Olivari,23,LAL,PG,2,0,10,1,5,0.2,1,5,0.2,0,0,,0.3,0,0,,0,0,0,1,0,0,1,0,3,0,,olivaqu01
Jaylen Clark,23,MIN,SG,4,0,10,0,3,0,0,1,0,0,2,0,0,2,2,1,1,0,1,0,0,0,0,1,2,0,,clarkja02
Isaiah Crawford,23,SAC,SF,3,0,9,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,3,3,0,0,0,0,1,2,0,,crawfis01
RayJ Dennis,23,IND,PG,5,0,10,0,2,0,0,2,0,0,0,,0,2,2,1,1,2,3,1,2,0,2,1,2,0,,dennira01
Spencer Jones,23,DEN,SF,5,0,13,1,4,0.25,0,3,0,1,1,1,0.25,0,0,,0,3,3,0,2,0,1,1,2,0,,jonessp01
Malevy Leons,25,OKC,SF,6,0,21,0,2,0,0,1,0,0,1,0,0,2,4,0.5,1,2,3,1,0,0,1,4,2,0,,leonsma01
Chris Livingston,21,MIL,SF,8,0,21,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,2,8,10,1,1,0,3,2,2,0,,livinch01
Leonard Miller,21,MIN,SF,4,0,10,0,4,0,0,3,0,0,1,0,0,2,2,1,1,4,5,0,1,0,1,1,2,0,,millele01
Alex Reese,25,OKC,PF,1,0,2,1,1,1,0,0,,1,1,1,1,0,0,,1,0,1,0,0,0,0,0,2,0,,reeseal01
Jalen Bridges,23,PHO,SF,4,0,17,0,3,0,0,3,0,0,0,,0,1,2,0.5,0,3,3,0,0,0,2,0,1,0,,bridgja01
Kylor Kelley,27,DAL,,1,0,8,0,0,,0,0,,0,0,,,1,2,0.5,1,3,4,0,0,0,0,2,1,0,,kelleky01
Daishen Nix,22,MIN,PG,3,0,13,0,1,0,0,1,0,0,0,,0,1,2,0.5,0,4,4,3,0,0,4,1,1,0,,nixda01
Emoni Bates,21,CLE,SF,2,0,9,0,3,0,0,2,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,,batesem01
Joe Ingles,37,MIN,SF,9,0,35,0,3,0,0,2,0,0,1,0,0,0,0,,2,0,2,9,0,0,1,6,0,0,,inglejo01
Harrison Ingram,22,SAS,SF,1,0,7,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,0,0,1,0,0,,ingraha01
Daniss Jenkins,23,DET,PG,3,0,8,0,4,0,0,4,0,0,0,,0,0,0,,0,0,0,0,0,0,1,1,0,0,,jenkida01
Mason Jones,26,SAC,SG,3,0,13,0,2,0,0,2,0,0,0,,0,0,0,,1,3,4,7,0,0,0,1,0,0,,jonesma05
Bobi Klintman,21,DET,SF,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,0,2,0,0,,klintbo01
Mac McClung,26,ORL,SG,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,2,0,0,0,0,0,0,,mccluma01
Justin Minaya,25,POR,SF,6,0,18,0,1,0,0,0,,0,1,0,0,0,0,,2,1,3,2,1,0,0,3,0,0,,minayju01
Riley Minix,24,SAS,SF,1,0,7,0,1,0,0,1,0,0,0,,0,0,0,,0,2,2,0,0,0,0,0,0,0,,minixri01
Cole Swider,25,DET,SF,2,0,13,0,5,0,0,5,0,0,0,,0,0,0,,0,2,2,1,0,0,0,1,0,0,,swideco01
